Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population
Asia,96327387.30612245,94955134.36734694,89165003.64,89087770.0,80580835.10869566,48639995.333333336,40278333.333333336,43839877.833333336
South America,31201186.285714287,30823574.5,29509599.714285713,26789395.53846154,25015888.692307692,21224743.92857143,17270643.285714287,13781939.714285715
Africa,25455879.67857143,23871435.263157893,21419703.574074075,18898197.314814813,14598365.94642857,11376964.517857144,8586031.982142856,6567175.2727272725
Europe,15055371.81632653,14915843.92,15027454.122448979,14712278.68,14817685.714285715,14785203.9375,14200004.520833334,13118479.82
North America,15007403.4,14855914.825,14259596.25,13568016.275,12151739.6,10531660.625,9207334.025,7885865.15
Oceania,2046386.3181818181,1910148.956521739,1756664.4782608696,1613163.652173913,1357512.0869565217,1162774.8695652173,996532.1739130435,846968.2608695652
