Cust No.,Item No.,Description,Description,UPC 2 - Box,U/M,Packed,Retail Pack,Price,Retail,UPC 1 - Each,UPC 2 - Box,UPC 3 - Case,Each Price,Description,Unit Retail
910992,100982,SALEM SILVER BOX 100,ITG,90500100300.00,CTN,00010 PAK,10/CT,96,10.67,90500000969.00,90500100300.00,90500151210.00,9.6,CIGARETTES,106.7
910992,101014,VANTAGE CLASSIC 100,R.J. REYNOLDS,12300131131.00,CTN,00010 PAK,10/CT,122.51,13.61,12300000314.00,12300131131.00,12300131216.00,12.25,CIGARETTES,136.1
910992,101030,VANTAGE SILVER BOX 100,R.J. REYNOLDS,12300367585.00,CTN,00010 PAK,10/CT,122.51,13.61,12300367578.00,12300367585.00,12300367592.00,12.25,CIGARETTES,136.1
910992,101089,PALL MALL NON-FILTER KING,R.J. REYNOLDS,43300065188.00,CTN,00010 PAK,10/CT,122.51,13.61,43300000165.00,43300065188.00,43300330613.00,12.25,CIGARETTES,136.1
910992,101113,EAGLE 20'S RED BOX KS,VALUE BRANDS: LIGGETT,11000283089.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002833.00,11000283089.00,11000283300.00,6.62,CIGARETTES,73.6
910992,101121,EAGLE 20'S RED BOX 100,VALUE BRANDS: LIGGETT,11000288084.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002888.00,11000288084.00,11000288305.00,6.62,CIGARETTES,73.6
910992,101139,EAGLE 20'S BLUE BOX KS,VALUE BRANDS: LIGGETT,11000282082.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002826.00,11000282082.00,11000282303.00,6.62,CIGARETTES,73.6
910992,101154,EAGLE 20'S BLUE BOX 100,VALUE BRANDS: LIGGETT,11000287087.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002871.00,11000287087.00,11000287308.00,6.62,CIGARETTES,73.6
910992,101162,EAGLE 20'S ORANGE BOX KS,VALUE BRANDS: LIGGETT,11000290100.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002901.00,11000290100.00,11000290308.00,6.62,CIGARETTES,73.6
910992,101170,EAGLE 20'S ORANGE BOX 100,VALUE BRANDS: LIGGETT,11000291107.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002918.00,11000291107.00,11000291305.00,6.62,CIGARETTES,73.6
910992,101196,CARLTON PLAIN BOX 100,R.J. REYNOLDS,43300020682.00,CTN,00010 PAK,10/CT,122.51,13.61,43300000356.00,43300020682.00,43300330507.00,12.25,CIGARETTES,136.1
910992,101204,EAGLE 20'S MEN GOLD BOX KS,VALUE BRANDS: LIGGETT,11000286080.00,CTN,00010 PAK,10/CT,66.15,7.36,11000001737.00,11000286080.00,11000286301.00,6.62,CIGARETTES,73.6
910992,101238,EAGLE 20'S MEN GOLD BOX 100,VALUE BRANDS: LIGGETT,11000293101.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002932.00,11000293101.00,11000293309.00,6.62,CIGARETTES,73.6
910992,101246,EAGLE 20'S MEN SILVER BOX KS,VALUE BRANDS: LIGGETT,11000285083.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002857.00,11000285083.00,11000285304.00,6.62,CIGARETTES,73.6
910992,101253,EAGLE 20'S MEN SILVER BOX 100,VALUE BRANDS: LIGGETT,11000294108.00,CTN,00010 PAK,10/CT,66.15,7.36,11000002949.00,11000294108.00,11000294306.00,6.62,CIGARETTES,73.6
910992,101279,NEWPORT MEN SMOOTH SEL BX KS,R.J. REYNOLDS,26100806700.00,CTN,00010 PAK,10/CT,91.96,10.22,26100006704.00,26100806700.00,10026100016083.00,9.2,CIGARETTES,102.2
910992,101287,NEWPORT MEN SMOOTH SEL BX100,R.J. REYNOLDS,26100806687.00,CTN,00010 PAK,10/CT,91.96,10.22,26100006681.00,26100806687.00,10026100016076.00,9.2,CIGARETTES,102.2
910992,101394,BENSON HEDGES BOX 100,PHILIP MORRIS,28200172266.00,CTN,00010 PAK,10/CT,109.28,12.14,28200007223.00,28200172266.00,28200072269.00,10.92,CIGARETTES,121.4
910992,101436,BENSON HEDGES DELUXE BX 100,PHILIP MORRIS,28200172907.00,CTN,00010 PAK,10/CT,109.28,12.14,28200007292.00,28200172907.00,28200072962.00,10.92,CIGARETTES,121.4
910992,101444,BENSON HEDGES MN DELUX BX 100,PHILIP MORRIS,28200173003.00,CTN,00010 PAK,10/CT,109.28,12.14,28200007308.00,28200173003.00,28200073068.00,10.92,CIGARETTES,121.4
910992,101477,MARLBORO GOLD BOX 100,PHILIP MORRIS,28200146502.00,CTN,00010 PAK,10/CT,83.65,9.3,28200004659.00,28200146502.00,28200046505.00,8.37,CIGARETTES,93
910992,101493,MARLBORO BOX 100,PHILIP MORRIS,28200136305.00,CTN,00010 PAK,10/CT,83.65,9.3,28200003638.00,28200136305.00,28200036308.00,8.37,CIGARETTES,93
910992,101618,VA SLIMS GOLD BOX 100,PHILIP MORRIS,28200173300.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007339.00,28200173300.00,28200073365.00,9.71,CIGARETTES,107.9
910992,101626,VA SLIMS MEN GOLD BOX 100,PHILIP MORRIS,28200173409.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007346.00,28200173409.00,28200073464.00,9.71,CIGARETTES,107.9
910992,101659,NEWPORT NON MEN GOLD BX KS,R.J. REYNOLDS,26100806601.00,CTN,00010 PAK,10/CT,81.91,9.1,26100006605.00,26100806601.00,10026100015970.00,8.19,CIGARETTES,91
910992,101709,NEWPORT NON MEN GOLD BX 100,R.J. REYNOLDS,26100806618.00,CTN,00010 PAK,10/CT,81.91,9.1,26100006612.00,26100806618.00,10026100015987.00,8.19,CIGARETTES,91
910992,101790,NEWPORT 100,R.J. REYNOLDS,26100805772.00,CTN,00010 PAK,10/CT,91.96,10.22,26100005776.00,26100805772.00,10026100013839.00,9.2,CIGARETTES,102.2
910992,101816,NEWPORT MEN GOLD 100,R.J. REYNOLDS,26100805857.00,CTN,00010 PAK,10/CT,91.96,10.22,26100005851.00,26100805857.00,10026100015185.00,9.2,CIGARETTES,102.2
910992,102004,MARLBORO MEN MIDNIGHT BOX KS,PHILIP MORRIS,28200161307.00,CTN,00010 PAK,10/CT,79.03,8.78,28200006134.00,28200161307.00,28200061362.00,7.9,CIGARETTES,87.8
910992,102095,DORAL MENTHOL GOLD BOX 100,VALUE BRANDS: R.J. REYNOLDS,12300158138.00,CTN,00010 PAK,10/CT,105.16,11.69,12300000581.00,12300158138.00,12300131308.00,10.51,CIGARETTES,116.9
910992,102368,BENSON HEDGE LUXURY MN BX 100,PHILIP MORRIS,28200172808.00,CTN,00010 PAK,10/CT,109.28,12.14,28200007285.00,28200172808.00,28200072863.00,10.92,CIGARETTES,121.4
910992,102376,AM SPRT CELADON BOX KS,SANTA FE NATURAL TOBACCO,47995855314.00,CTN,00010 PAK,10/CT,95.93,10.66,47995855215.00,47995855314.00,10047995857001.00,9.6,CIGARETTES,106.6
910992,102384,VA SLIM 120 GOLD BOX,PHILIP MORRIS,28200173508.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007353.00,28200173508.00,28200073563.00,9.71,CIGARETTES,107.9
910992,102392,VA SLIM 120 MEN GOLD BOX,PHILIP MORRIS,28200173904.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007391.00,28200173904.00,28200073969.00,9.71,CIGARETTES,107.9
910992,102426,WINSTON GOLD BOX KING,ITG,90500100119.00,CTN,00010 PAK,10/CT,84,9.33,90500000594.00,90500100119.00,90500150381.00,8.4,CIGARETTES,93.3
910992,102442,MARLBORO MEN SLATE BOX KS,PHILIP MORRIS,28200324214.00,CTN,00010 PAK,10/CT,79.03,8.78,28200324221.00,28200324214.00,28200324269.00,7.9,CIGARETTES,87.8
910992,102459,MARLBORO MEN SLATE BOX 100,PHILIP MORRIS,28200324313.00,CTN,00010 PAK,10/CT,79.03,8.78,28200324320.00,28200324313.00,28200324368.00,7.9,CIGARETTES,87.8
910992,102483,CAMEL ROYAL BOX KS,R.J. REYNOLDS,12300843928.00,CTN,00010 PAK,10/CT,86.83,9.64,12300843911.00,12300843928.00,12300843935.00,8.68,CIGARETTES,96.4
910992,102491,CAMEL ROYAL SILVER BOX KS,R.J. REYNOLDS,12300844185.00,CTN,00010 PAK,10/CT,86.83,9.64,12300844178.00,12300844185.00,12300844192.00,8.68,CIGARETTES,96.4
910992,102509,CAMEL ROYAL JADE SILVER BOX KS,R.J. REYNOLDS,12300844369.00,CTN,00010 PAK,10/CT,86.83,9.64,12300844352.00,12300844369.00,12300844376.00,8.68,CIGARETTES,96.4
910992,102517,CAMEL ROYAL GOLD BOX KS,R.J. REYNOLDS,12300844017.00,CTN,00010 PAK,10/CT,86.83,9.64,12300844000.00,12300844017.00,12300844024.00,8.68,CIGARETTES,96.4
910992,102624,SONOMA NON-FILTER KING,VALUE BRANDS: ITG,90600301836.00,CTN,00010 PAK,10/CT,57.7,6.41,90600000838.00,90600301836.00,90600342839.00,5.77,CIGARETTES,64.1
910992,102632,KOOL BLUE BOX KING,ITG,90500100201.00,CTN,00010 PAK,10/CT,84.72,9.41,90500000860.00,90500100201.00,90500151135.00,8.47,CIGARETTES,94.1
910992,102640,AM SPRT FULL DARK BLUE BOX KS,SANTA FE NATURAL TOBACCO,47995856045.00,CTN,00010 PAK,10/CT,95.93,10.66,47995856038.00,47995856045.00,10047995856042.00,9.6,CIGARETTES,106.6
910992,102657,WINSTON GOLD BOX 100,ITG,90500100126.00,CTN,00010 PAK,10/CT,84,9.33,90500000617.00,90500100126.00,90500150398.00,8.4,CIGARETTES,93.3
